オーナー名,店名,種類,リンク,Xタグ,URL（情報元）,DC,サーバー,居住区,番地
Mally Wisteria（部屋主）/Kakodaimon Indigobird（募集主）,終焉追想 暁月堂,その他,,#暁月堂,https://www.14-store-log.com/stores/ffeb70a6-3fa5-4040-bb41-813bb1aca1b3,Gaia,Fenrir,ラベンダーベッド 12区,リリーヒルズ2号 6号室
Rivero Gladius,Bicolo_Tormaline,カフェ・BAR,,#Bicolo_Tormaline,https://www.14-store-log.com/stores/2e1372d3-4da6-454c-be42-4cdb6f8a0a69,Mana,Asura,シロガネ 10区,43番地
Eks Tetsu,お魚市場,販売店,,,https://www.14-store-log.com/stores/cd0829a2-5652-4a8d-8719-2b9c935be1e8,Meteor,Valefor,ゴブレットビュート 18区,12番地
Sieo Zzz,將,マネキンショップ・スタジオ,https://x.com/sien_morumoru,#The將,https://www.14-store-log.com/stores/3f7b39e8-d575-43b5-928c-1f2dce77638b,Elemental,Garuda,シロガネ 28区,28番地
Strath Isla,Bar:Long Island Iced Tea,BAR・マネキンショップ,,#FF14  #Long_Island_Iced_Tea  #ハデス雑談店　　#フレ探し　#ミラプリ＃アウラ,https://www.14-store-log.com/stores/aa6d5849-1aa3-4ff1-8626-e73ab81302f3,Mana,Hades,ミストヴィレッジ 27区,23番地
Shiu'a Latum/Serious Khronofild,RP専用Bar『月時雨』,BAR・その他,,,https://www.14-store-log.com/stores/3f5443af-5ea0-4280-a4d9-5114dd40f4bc,Meteor,Zeromus,ミストヴィレッジ 17区,46番地 （地下）
Shiu'a Latum,RP専用Bar『月時雨』支店,BAR,,,https://www.14-store-log.com/stores/0265856a-d56e-4791-8d9f-5cba5bb7c179,Meteor,Zeromus,ミストヴィレッジ 26区,トップマスト1号 14号室
Alta Torres,Cafe Eos -カフェ エオス-,カフェ・販売店,,#FF14_CafeEos,https://www.14-store-log.com/stores/abaf8f5c-90a6-4d11-9131-87af8c964c88,Gaia,Ridill,ミストヴィレッジ 11区,トップマスト1号 18
Alta Torres,BarLaunge Topaz,その他・BAR,,,https://www.14-store-log.com/stores/5fac88bd-297a-4542-8ff3-538db30dfd0a,Gaia,Ridill,ゴブレットビュート 28区,41番地
Usagi Thunder,脱出系ギミックハウス #胡蝶の家,ギミックハウス,https://x.com/ff14_Thunder/status/1926482751206707641,#胡蝶の家,https://www.14-store-log.com/stores/81740b66-cdf9-4100-9a14-87aa6c7242c0,Gaia,Ifrit,ラベンダーベッド 27区,51番地
Polar Aursa,おでんや 北極,居酒屋・BAR,https://x.com/Polar_Aursa0121,#おでんや北極,https://www.14-store-log.com/stores/917a4b77-11ac-4645-8a4a-2a3282de279d,Mana,Hades,ゴブレットビュート 20区,ナナモ大風車1号 26号室
Origa Bles,BAR Islay（アイラ）,BAR,,,https://www.14-store-log.com/stores/a5c8738a-c031-40df-8252-571399a358af,Mana,Pandaemonium,ラベンダーベッド 20区,13番地
chamy xxx,交流店-Libra-,交流店・BAR,https://x.com/Libra_xoxox,#交流店_Libra,https://www.14-store-log.com/stores/381e335d-1d8c-40d5-b4e7-174e650558be,Mana,Anima,エンピレアム 10区,8番地
Ren Monet,モネーダの酒場,BAR・交流店,,#モネーダの酒場,https://www.14-store-log.com/stores/9d27d4c4-d539-47b5-8475-4c40fe4d0242,Meteor,Shinryu,エンピレアム 21区,31番地
takub,アメリカンバー,BAR,,,https://www.14-store-log.com/stores/4c063608-c25d-4589-a18c-604688e0c6aa,Mana,Masamune,ラベンダーベッド 24区,3番地
Stella-sora Staudt,CLUB玲瓏Lay-Low,BAR・クラブ,,#CLUB玲瓏_FF14,https://www.14-store-log.com/stores/9d76effb-21e0-4914-a7a0-46dca7793576,Elemental,Carbuncle,ラベンダーベッド 15区,30番地
Vex Ghrat/Zegram Ghrat,RP冒険者ギルド ‐逢魔ヶ刻ノ便リ‐,その他,https://jp.finalfantasyxiv.com/lodestone/character/44419677/blog/5593983/,#逢魔ヶ刻ノ便リ,https://www.14-store-log.com/stores/28b12efb-259f-436e-aa83-6dab5a50cf0c,Meteor,Zeromus,ラベンダーベッド 22区,25番地
Kaede Namiki,雑談&お昼寝カフェ《ルピエ》,カフェ,,,https://www.14-store-log.com/stores/39c67072-b58e-4d63-99da-062be639df64,Meteor,Ramuh,ラベンダーベッド 30区,リリーヒルズ1号 26
